gid;fecha;codigo;code;elevacion;orientacion;dist2road;x;y
89;2001;400;242;329.67592;47.39401;399.385997;746898.878;4456421.522
90;2001;230;324;945.62292;88.06139;201.1019977;735649.1184;4470232.669
91;2001;100;312;965.40302;52.21433;17.49544187;731810.7412;4462494.073
92;2001;400;324;167.53868;59.72213;421.87939;762842.708;4444096.575
93;2001;296;323;190.69736;178.82206;333.8268307;748844.0711;4434034.446
94;2001;400;242;234.8825;174.27454;1.217248165;766665.4678;4464160.686
95;2001;100;243;376.58348;184.7245;27.09435338;747896.0756;4444397.452
96;2001;100;222;533.53823;95.79752;45.7674505;757340.761;4462632.587
97;2001;330;323;215.75515;189.32585;30.79691685;734667.4048;4412462.518
98;2001;400;222;164.27218;19.61011;91.9733518;736110.5765;4411253.493
99;2001;250;323;129.17705;166.06705;552.4653294;740003.7032;4415822.21
100;2001;210;222;40.9916;99.30678;40.3646437;741250.1175;4417528.862
101;2001;400;324;192.85042;225.45867;1076.77697;735110.9616;4423234.069
102;2001;240;243;264.99226;180.92794;276.5828011;734537.1401;4430567.649
103;2001;100;324;356.52465;76.72013;553.6482418;731482.103;4429703.706
104;2001;310;241;641.42984;158.06496;105.4695358;706633.6908;4425498.011
105;2001;330;243;542.5108;35.45206;94.48455252;709116.9277;4417576.828
106;2001;100;324;570.12478;33.86363;458.5812404;707875.683;4413327.991
107;2001;100;323;516.09842;266.35904;108.7921774;717384.7922;4418212.277
108;2001;210;312;394.0387;170.38321;3.395173526;719768.5705;4438251.938
109;2001;100;323;465.44222;128.12284;681.3800012;723192.708;4440171.538
110;2001;100;324;879.34763;188.08268;184.222382;705654.9884;4441205.131
111;2001;240;222;520.41097;174.11514;250.0487696;754902.1015;4459943.389
112;2001;100;323;236.62734;251.8431;415.3803894;744806.7714;4437358.349
113;2001;100;312;874.98768;87.25634;687.9688282;709763.9176;4447223.888
114;2001;100;324;780.26501;150.26885;442.3394013;704865.2369;4439136.881
115;2001;310;241;476.18771;187.10272;193.3412445;709048.5635;4419798.225
116;2001;250;323;447.09292;195.99054;15.08828829;712516.0282;4420040.898
117;2001;100;241;528.1359;185.99581;85.67992187;708234.2459;4421382.652
118;2001;100;324;464.29881;171.31347;914.344364;728429.0581;4411747.005
119;2001;100;324;483.03557;182.92219;255.2072612;712609.5325;4421727.51
120;2001;250;324;71.42372;62.91372;35.17605532;765939.0884;4441794.647
121;2002;100;323;684.56203;151.23201;830.2580848;771881.2879;4504039.457
122;2002;100;242;533.95688;185.11796;197.7098514;753640.9125;4471258.304
123;2002;100;223;369.68365;146.29107;393.7535369;771618.5654;4498968.383
124;2002;100;323;865.9677;19.71049;108.741779;734493.5972;4472349.458
125;2002;100;323;658.76857;130.74078;688.3516944;761201.7988;4488932.555
126;2002;100;321;1111.33112;-99999;177.2213033;760160.867;4506367.03
127;2002;100;323;461.1593;74.18219;23.109964;740131.7353;4446685.557
128;2002;100;312;221.41577;126.21226;333.7765801;777833.6257;4466729.628
129;2002;100;312;1141.1678;137.29116;259.7826113;767171.6449;4511032.993
130;2002;100;323;780.59826;136.45849;702.91269;750501.9944;4477417.107
131;2002;100;243;223.5447;179.89939;176.3977685;734637.5646;4430454.08
132;2002;100;323;553.02715;122.36304;185.2815245;774111.8581;4505127.441
133;2002;100;323;464.36595;131.81487;297.5129053;744535.5509;4456636.837
134;2002;100;323;188.72069;123.15208;78.42588629;740539.9133;4440675.272
135;2002;100;313;812.1003;98.9243;1586.7168;765039.6636;4501883.029
136;2002;100;324;883.12776;169.84126;1722.939332;760856.2649;4492373.769
137;2002;100;313;885.75795;130.2261;264.876808;721495.71;4419046.933
138;2002;100;242;959.19071;129.61877;89.81088697;732657.6399;4461375.223
139;2002;100;324;846.22116;40.52768;1107.579184;701555.8067;4438193.692
140;2002;100;312;1209.74771;76.05389;1213.489289;757920.3366;4508847.469
141;2002;100;324;879.92601;89.13968;463.7787794;751773.4549;4509647.596
142;2002;100;324;1499.28504;57.88489;249.2571227;724937.0155;4457142.283
143;2002;100;323;144.22094;-99999;138.1023651;741197.8111;4434051.79
144;2002;100;312;1138.04786;140.07473;372.0530577;729614.5061;4469825.577
145;2002;100;242;392.97108;83.66701;406.5043862;727983.1207;4412610.904
146;2002;100;324;471.00437;57.54789;126.3021661;765639.4525;4488890.256
147;2002;100;323;990.19943;229.27229;354.1699008;742950.4091;4486445.045
148;2002;100;312;683.60789;45.59461;17.92838328;740947.8034;4513828.646
149;2002;100;243;182.87003;43.45387;338.8045142;781198.3853;4481935.467
150;2002;100;312;964.52618;237.89863;75.93147273;721595.8774;4454792.715
151;2002;210;242;596.92243;224.91262;269.1871775;709600.2215;4414657.332
152;2002;210;223;214.85126;94.60212;127.3356924;779993.8764;4493409.037
153;2002;210;223;178.34101;94.44965;48.91451616;781774.8017;4489024.252
154;2002;210;323;964.10274;255.85737;150.6576036;724763.6976;4447190.394
155;2002;210;324;274.63278;271.28534;935.7655877;764005.7126;4463112.299
156;2002;210;243;425.10374;113.9426;189.4262351;715747.6321;4418945.726
157;2002;210;242;473.97667;94.77092;45.13230225;726139.2721;4421787.5
158;2002;210;323;275.98664;113.59385;424.0648474;766071.6132;4452411.763
159;2002;240;323;611.81742;168.37049;218.3632444;758456.3752;4441629.259
160;2002;240;243;378.07434;126.06816;92.90979119;735031.0767;4440126.3
161;2002;240;323;652.29035;72.45891;155.3953178;730271.205;4448053.391
162;2002;250;223;393.56444;190.22336;109.6223499;723521.6741;4431539.919
163;2002;250;242;537.7709;103.22211;110.3342371;709520.3809;4423634.478
164;2002;250;222;498.66618;126.3283;17.95798079;746971.0265;4462069.78
165;2002;250;323;301.05881;85.93756;12.67736908;737458.7972;4440795.815
166;2002;250;323;289.75685;33.60475;431.1156266;762221.3364;4460149.267
167;2002;250;323;864.47621;180.89464;78.77944821;701425.1834;4428254.211
168;2002;250;222;1.99909;101.27316;63.16301875;755579.6925;4422546.721
169;2002;260;323;327.56758;255.24776;472.5007812;762249.7609;4459083.56
170;2002;260;222;80.22543;89.00697;157.1620858;738852.4483;4412646.534
171;2002;260;242;0.8971;-99999;90.38442963;742297.938;4404412.494
172;2002;400;323;287.97973;260.84951;276.3594116;764365.5002;4443798.818
173;2002;400;323;281.08958;171.50343;87.41010053;750394.3491;4449867.598
174;2002;400;242;1.89402;110.46534;151.7719928;771454.8202;4453556.124
175;2002;400;421;1.77909;207.67737;27.50321183;771861.5232;4453680.06
176;2002;400;331;3.52749;169.01073;8.995504139;755251.9463;4422870.429
177;2002;400;242;141.96501;90.27648;73.40188953;763189.0329;4448201.229
178;2002;400;243;540.90726;167.44042;112.4929009;714411.561;4423444.598
179;2002;400;512;166.46242;90;301.40895;734505.9285;4433469.262
180;2002;400;323;471.56118;83.15465;96.48354018;711764.4778;4418040.873
181;2002;400;324;434.36508;206.27041;43.4071907;759162.7478;4443449.019
182;2002;400;324;568.20631;119.64305;125.3367561;704683.5315;4421001.802
183;2002;296;222;1.95396;92.21626;31.04983844;755783.7879;4422839.243
184;2002;296;331;0.65067;90;19.53663511;769712.807;4447571.921
185;2002;296;421;1.25286;172.55643;344.5861613;788893.6815;4475278.781
186;2003;100;222;443.38631;151.5272;446.8159248;747291.4852;4461545.118
